Draw Date:,Draw_Number:,_1,_2,_3,_4,_5,_p
SatJun162018,542,65,09,58,57,45,09
WedJun132018,541,13,38,45,20,55,01
SatJun092018,540,36,10,25,06,15,14
WedJun062018,539,53,28,41,23,56,14
SatJun022018,538,23,37,64,44,25,07
WedMay302018,537,46,23,26,17,68,20
SatMay262018,536,45,31,21,01,49,21
WedMay232018,535,20,54,61,56,64,07
SatMay192018,534,56,09,17,03,06,25
WedMay162018,533,17,22,21,19,51,19
SatMay122018,532,42,56,22,55,45,14
WedMay092018,531,50,69,16,38,11,19
SatMay052018,530,29,36,14,61,57,17
WedMay022018,529,40,05,31,50,14,06
SatApr282018,528,28,50,22,45,20,08
WedApr252018,527,18,17,39,64,56,12
SatApr212018,526,50,69,54,62,40,19
WedApr182018,525,12,17,10,09,23,09
SatApr142018,524,61,17,19,26,62,15
WedApr112018,523,67,18,16,55,27,18
SatApr072018,522,38,02,20,17,39,20
WedApr042018,521,42,64,54,08,24,24
SatMar312018,520,24,55,52,61,08,21
WedMar282018,519,53,08,52,06,26,21
SatMar242018,518,33,56,53,10,45,24
WedMar212018,517,29,04,61,03,18,25
SatMar172018,516,60,66,22,59,57,07
WedMar142018,515,12,24,06,41,68,09
SatMar102018,514,69,43,54,44,61,22
WedMar072018,513,36,06,19,13,51,18
SatMar032018,512,40,17,36,25,13,05
WedFeb282018,511,69,12,65,59,30,16
SatFeb242018,510,38,25,62,63,24,06
WedFeb212018,509,07,36,31,15,34,08
SatFeb172018,508,26,62,39,13,44,02
WedFeb142018,507,44,46,37,39,69,26
SatFeb102018,506,27,13,41,59,01,20
WedFeb072018,505,40,35,34,47,23,10
SatFeb032018,504,15,48,23,27,53,06
WedJan312018,503,07,04,14,59,46,22
SatJan272018,502,54,26,17,21,47,07
WedJan242018,501,11,09,05,33,64,21
SatJan202018,500,28,26,58,47,49,03
WedJan172018,499,33,51,03,37,57,21
SatJan132018,498,69,25,35,14,58,24
WedJan102018,497,07,24,50,49,33,04
SatJan062018,496,12,61,30,29,33,26
WedJan032018,495,42,39,18,02,37,12
SatDec302017,494,58,28,51,41,36,24
WedDec272017,493,16,60,03,56,09,03
SatDec232017,492,44,15,01,13,03,25
WedDec202017,491,20,61,64,01,69,20
SatDec162017,490,35,63,37,09,50,11
WedDec132017,489,02,28,51,58,24,07
SatDec092017,488,36,60,55,37,25,06
WedDec062017,487,50,19,55,62,20,09
SatDec022017,486,32,30,36,28,58,06
WedNov292017,485,59,28,26,24,63,16
SatNov252017,484,53,08,54,27,13,04
WedNov222017,483,61,51,37,46,35,13
SatNov182017,482,17,31,28,32,39,26
WedNov152017,481,48,32,44,50,23,25
SatNov112017,480,56,06,04,30,16,18
WedNov082017,479,12,21,14,34,20,22
SatNov042017,478,51,48,12,26,14,13
WedNov012017,477,26,03,19,06,44,01
SatOct282017,476,35,27,57,66,38,10
WedOct252017,475,57,54,29,22,18,08
SatOct212017,474,14,45,69,41,42,04
WedOct182017,473,69,54,49,30,66,08
SatOct142017,472,56,37,69,32,66,11
WedOct112017,471,01,69,19,03,13,23
SatOct072017,470,61,10,49,65,63,07
WedOct042017,469,23,63,62,66,22,24
SatSep302017,468,08,25,12,41,64,15
WedSep272017,467,21,25,10,23,08,22
SatSep232017,466,45,24,56,55,57,19
WedSep202017,465,68,48,67,39,53,26
SatSep162017,464,31,24,25,17,18,24
WedSep132017,463,24,63,35,57,17,19
SatSep092017,462,59,20,06,57,29,22
WedSep062017,461,32,14,08,58,67,17
SatSep022017,460,62,41,21,52,06,26
WedAug302017,459,43,19,69,28,67,07
SatAug262017,458,66,15,07,38,32,15
WedAug232017,457,07,26,16,23,06,04
SatAug192017,456,17,68,19,43,39,13
WedAug162017,455,64,43,60,09,15,04
SatAug122017,454,35,20,49,26,24,19
WedAug092017,453,12,30,47,62,36,09
SatAug052017,452,33,21,45,11,28,11
WedAug022017,451,16,01,54,63,69,18
SatJul292017,450,01,40,28,48,45,12
WedJul262017,449,19,42,21,07,69,12
SatJul222017,448,44,32,60,05,53,09
WedJul192017,447,63,51,59,61,50,04
SatJul152017,446,40,66,09,64,63,17
WedJul122017,445,18,23,02,61,01,09
SatJul082017,444,29,08,40,59,10,26
WedJul052017,443,54,09,68,04,16,21
SatJul012017,442,45,19,42,53,48,16
WedJun282017,441,46,37,29,53,68,08
SatJun242017,440,36,32,22,58,10,10
WedJun212017,439,65,14,46,68,61,13
SatJun172017,438,13,62,10,53,32,21
WedJun142017,437,63,22,05,43,57,24
SatJun102017,436,32,26,20,38,58,03
WedJun072017,435,66,57,05,69,21,13
SatJun032017,434,54,41,09,03,21,25
WedMay312017,433,60,39,33,04,46,06
SatMay272017,432,55,10,05,67,28,09
WedMay242017,431,38,28,33,32,62,15
SatMay202017,430,45,05,47,54,22,03
WedMay172017,429,39,04,48,45,11,09
SatMay132017,428,68,17,20,63,32,19
WedMay102017,427,62,31,56,46,29,08
SatMay062017,426,31,21,11,41,59,21
WedMay032017,425,18,49,66,17,59,09
SatApr292017,424,24,22,23,62,45,05
WedApr262017,423,18,01,51,15,26,26
SatApr222017,422,39,21,48,41,63,06
WedApr192017,421,01,19,52,40,37,15
SatApr152017,420,61,26,45,05,22,13
WedApr122017,419,68,63,14,08,61,24
SatApr082017,418,51,53,36,23,60,15
WedApr052017,417,53,20,54,46,08,13
SatApr012017,416,65,09,44,36,32,01
WedMar292017,415,08,62,31,36,15,11
SatMar252017,414,32,18,31,48,45,16
WedMar222017,413,02,29,09,27,42,09
SatMar182017,412,25,67,54,44,13,05
WedMar152017,411,30,16,41,48,53,16
SatMar112017,410,57,41,50,26,01,11
WedMar082017,409,42,23,59,46,33,04
SatMar042017,408,02,22,63,19,18,19
WedMar012017,407,16,10,52,40,55,17
SatFeb252017,406,06,62,32,47,65,19
WedFeb222017,405,52,10,61,28,13,02
SatFeb182017,404,09,03,33,07,31,20
WedFeb152017,403,33,05,42,38,28,19
SatFeb112017,402,37,64,17,09,05,02
WedFeb082017,401,49,20,42,14,66,05
SatFeb042017,400,52,17,16,13,06,25
WedFeb012017,399,09,60,64,43,57,10
SatJan282017,398,39,12,49,69,20,17
WedJan252017,397,18,62,66,68,28,22
SatJan212017,396,45,25,23,67,52,02
WedJan182017,395,41,09,58,40,53,12
SatJan142017,394,55,69,23,64,59,13
WedJan112017,393,01,16,13,43,03,24
SatJan072017,392,37,63,12,24,03,10
WedJan042017,391,17,16,42,41,29,04
SatDec312016,390,01,28,03,67,57,09
WedDec282016,389,30,23,44,58,16,04
SatDec242016,388,38,52,42,51,28,21
WedDec212016,387,25,68,40,54,33,03
SatDec172016,386,16,40,08,48,01,10
WedDec142016,385,39,18,66,37,26,15
SatDec102016,384,32,21,12,44,66,15
WedDec072016,383,49,64,48,41,53,20
SatDec032016,382,27,26,33,08,10,22
WedNov302016,381,03,45,25,14,18,07
SatNov262016,380,21,17,37,44,19,16
WedNov232016,379,07,61,41,47,32,03
SatNov192016,378,24,61,43,16,28,21
WedNov162016,377,28,61,63,41,65,07
SatNov122016,376,20,08,27,52,17,24
WedNov092016,375,28,31,54,25,01,02
SatNov052016,374,31,50,69,21,51,08
WedNov022016,373,18,54,61,13,37,05
SatOct292016,372,42,48,20,21,19,23
WedOct262016,371,48,56,02,16,03,24
SatOct222016,370,01,55,33,28,56,22
WedOct192016,369,43,63,16,38,10,23
SatOct152016,368,64,49,57,23,67,20
WedOct122016,367,34,44,30,16,37,16
SatOct082016,366,03,64,68,61,54,09
WedOct052016,365,60,29,18,27,08,15
SatOct012016,364,12,64,50,61,02,01
WedSep282016,363,30,53,62,38,52,01
SatSep242016,362,15,07,29,41,20,22
WedSep212016,361,63,67,01,69,28,17
SatSep172016,360,51,19,09,62,55,14
WedSep142016,359,10,31,23,28,11,14
SatSep102016,358,03,17,49,68,55,08
WedSep072016,357,23,55,33,22,29,21
SatSep032016,356,39,59,07,67,50,25
WedAug312016,355,10,56,24,61,05,12
SatAug272016,354,48,32,63,04,49,20
WedAug242016,353,25,11,09,65,64,16
SatAug202016,352,68,03,21,06,60,24
WedAug172016,351,44,49,33,50,52,08
SatAug132016,350,44,38,64,69,60,06
WedAug102016,349,64,56,61,23,67,12
SatAug062016,348,52,33,47,36,20,12
WedAug032016,347,66,27,11,09,67,02
SatJul302016,346,32,21,17,23,11,05
WedJul272016,345,10,47,68,65,50,24
SatJul232016,344,39,05,35,07,23,11
WedJul202016,343,06,58,66,25,35,05
SatJul162016,342,11,50,40,17,62,26
WedJul132016,341,57,15,29,03,54,10
SatJul092016,340,32,28,10,64,61,12
WedJul062016,339,66,57,02,31,24,18
SatJul022016,338,63,39,59,34,10,04
WedJun292016,337,29,37,23,64,60,06
SatJun252016,336,36,03,56,69,27,25
WedJun222016,335,14,42,43,52,40,17
SatJun182016,334,53,02,23,63,41,11
WedJun152016,333,33,04,24,31,22,10
SatJun112016,332,36,58,27,41,20,07
WedJun082016,331,37,69,12,25,60,20
SatJun042016,330,20,16,43,64,22,17
WedJun012016,329,40,69,33,23,30,12
SatMay282016,328,06,34,33,59,58,12
WedMay252016,327,64,24,59,41,11,15
SatMay212016,326,09,32,05,07,23,26
WedMay182016,325,25,67,39,23,54,11
SatMay142016,324,64,27,65,13,47,09
WedMay112016,323,69,32,52,66,20,23
SatMay072016,322,25,66,44,05,26,09
WedMay042016,321,47,69,30,66,57,03
SatApr302016,320,32,16,03,34,12,14
WedApr272016,319,25,39,64,02,33,17
SatApr232016,318,46,62,59,35,19,13
WedApr202016,317,62,30,12,25,52,08
SatApr162016,316,32,03,25,51,18,03
WedApr132016,315,30,35,38,33,64,22
SatApr092016,314,14,23,41,61,22,09
WedApr062016,313,65,28,49,60,04,25
SatApr022016,312,09,61,28,40,30,03
WedMar302016,311,55,24,63,53,44,19
SatMar262016,310,23,42,68,52,11,06
WedMar232016,309,22,15,49,05,08,25
SatMar192016,308,11,60,23,54,43,03
WedMar162016,307,46,50,12,13,10,21
SatMar122016,306,28,11,50,57,62,23
WedMar092016,305,32,34,14,23,68,03
SatMar052016,304,03,34,27,59,69,19
WedMar022016,303,62,52,13,12,44,06
SatFeb272016,302,22,11,53,21,10,18
WedFeb242016,301,67,21,65,31,64,05
SatFeb202016,300,54,12,11,16,15,25
WedFeb172016,299,29,27,07,40,17,25
SatFeb132016,298,07,15,36,18,19,20
WedFeb102016,297,02,62,40,50,03,05
SatFeb062016,296,13,04,36,31,52,08
WedFeb032016,295,26,60,67,31,28,23
SatJan302016,294,16,05,12,31,43,18
WedJan272016,293,40,52,03,67,12,21
SatJan232016,292,32,22,40,69,34,19
WedJan202016,291,44,05,39,69,47,24
SatJan162016,290,61,52,51,64,03,06
WedJan132016,289,08,27,34,04,19,10
SatJan092016,288,32,16,19,57,34,13
WedJan062016,287,47,02,63,62,11,17
SatJan022016,286,42,15,06,05,29,10
WedDec302015,285,12,61,54,38,36,22
SatDec262015,284,65,40,44,59,27,20
WedDec232015,283,67,16,63,38,55,25
SatDec192015,282,30,68,59,41,28,10
WedDec162015,281,09,42,10,55,32,06
SatDec122015,280,62,02,30,19,14,22
WedDec092015,279,16,46,10,56,07,01
SatDec052015,278,47,33,68,27,13,13
WedDec022015,277,14,18,19,64,32,09
SatNov282015,276,47,02,66,67,06,02
WedNov252015,275,53,16,69,58,29,21
SatNov212015,274,37,57,47,50,52,21
WedNov182015,273,40,17,46,69,41,06
SatNov142015,272,66,37,22,14,45,05
WedNov112015,271,26,04,32,55,64,18
SatNov072015,270,50,53,07,16,25,15
WedNov042015,269,12,02,17,20,65,17
SatOct312015,268,09,47,20,25,68,07
WedOct282015,267,56,62,54,63,04,10
SatOct242015,266,20,31,56,64,60,02
WedOct212015,265,57,32,30,42,56,11
SatOct172015,264,57,62,69,49,48,19
WedOct142015,263,20,15,31,40,29,01
SatOct102015,262,27,68,12,43,29,01
WedOct072015,261,52,40,48,18,30,09
SatOct032015,260,33,06,46,44,26,04
WedSep302015,259,40,59,21,39,55,17
SatSep262015,258,23,57,42,31,50,05
WedSep232015,257,08,29,51,58,41,05
SatSep192015,256,12,43,17,26,48,24
WedSep162015,255,07,05,39,24,31,07
SatSep122015,254,35,03,16,02,13,27
WedSep092015,253,50,44,45,51,47,08
SatSep052015,252,29,10,18,16,45,19
WedSep022015,251,17,46,22,30,56,16
SatAug292015,250,25,18,29,21,28,16
WedAug262015,249,22,56,02,45,32,12
SatAug222015,248,12,14,21,04,55,07
WedAug192015,247,06,43,48,50,08,07
SatAug152015,246,03,17,13,52,42,24
WedAug122015,245,29,38,08,13,52,28
SatAug082015,244,34,48,54,52,09,15
WedAug052015,243,42,14,09,16,11,19
SatAug012015,242,13,07,49,24,57,15
WedJul292015,241,04,52,22,27,28,35
SatJul252015,240,27,44,41,29,34,02
WedJul222015,239,31,12,57,44,43,11
SatJul182015,238,39,06,37,45,55,33
WedJul152015,237,45,34,13,50,16,11
SatJul112015,236,46,39,52,11,54,03
WedJul082015,235,30,27,25,15,04,18
SatJul042015,234,24,18,06,03,14,21
WedJul012015,233,24,41,31,26,07,25
SatJun272015,232,35,18,46,49,28,27
WedJun242015,231,05,10,03,22,32,07
SatJun202015,230,20,16,10,57,09,15
WedJun172015,229,22,20,21,54,41,07
SatJun132015,228,41,29,52,54,48,29
WedJun102015,227,49,32,31,53,48,25
SatJun062015,226,18,43,13,08,27,15
WedJun032015,225,06,40,37,13,08,11
SatMay302015,224,57,25,08,56,09,22
